Fecha	Comprador	Vendedor	Jugador	Precio	Tipo	Foto
11/09/2020 - 21:26:00	Sabero Valley	futmondo	Waldo Rubio	1000001	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67211880.png
07/09/2020 - 21:29:00	David Vidal Team	futmondo	Etxeita	4000001	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67008295.png
31/08/2020 - 21:20:00	echo de menos el Netliga	futmondo	Brasanac	1340000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/62039552.png
24/08/2020 - 20:17:00	jorgearaujopirez	futmondo	Riqui Puig	11222333	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67258407.png
20/08/2020 - 20:14:00	Maño's Team	futmondo	Morata	35501000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/morata.png
10/09/2020 - 08:14:00	Albar ÉldelBar	Luis Ragan	Pedro León	12500000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67005397.png
11/09/2020 - 12:20:00	futmondo	jorgearaujopirez	Miquel	800000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/28027172.png
23/08/2020 - 20:16:00	jorgearaujopirez	futmondo	Parejo	49550632	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67030707.png
28/08/2020 - 21:16:00	Luis Ragan	futmondo	Chukwueze	17222222	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/samuel-chukwueze.png
12/09/2020 - 21:27:00	jglelxino17	futmondo	Militao	6236559	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/eder-militao.png
19/08/2020 - 20:14:00	Ruben Esteban	futmondo	Laguardia	15125880	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67059116.png
18/08/2020 - 20:13:00	echo de menos el Netliga	futmondo	Jorge De Frutos	2100000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/jorge-de-frutos-sebastian.png
14/09/2020 - 00:48:00	futmondo	Albar ÉldelBar	Sagnan	1063115	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/modibo-sagnan.png
01/09/2020 - 21:22:00	HOPE TEAM S.A	futmondo	Claudio Bravo	5500000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/5251774.png
23/08/2020 - 20:16:00	jglelxino17	futmondo	Le Normand	12000955	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/robin-le-normand.png
22/08/2020 - 20:15:00	HOPE TEAM S.A	futmondo	Rubén Martínez	3500000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/7451904.png
25/08/2020 - 21:14:00	PaKeTeS ⚽️	futmondo	Darwin Machís	22580000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/86017618.png
29/08/2020 - 21:17:00	echo de menos el Netliga	futmondo	Herrerín	1593999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67018266.png
08/09/2020 - 22:05:00	futmondo	Maño's Team	Montoya	3768271	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67053464.png
